index, amount, keys
0, 0, 
1, 0, 
2, 3, A12 A21 A30
3, 0, 
4, 1, A7
5, 0, 
6, 0, 
7, 0, 
8, 0, 
9, 0, 
10, 5, A59 A68 A77 A86 A95
11, 0, 
12, 0, 
13, 1, A0
14, 9, A18 A27 A36 A45 A54 A63 A72 A81 A90
15, 0, 
16, 0, 
17, 1, A8
18, 0, 
19, 0, 
20, 4, A13 A22 A31 A40
21, 0, 
22, 0, 
23, 0, 
24, 0, 
25, 0, 
26, 1, A1
27, 0, 
28, 0, 
29, 0, 
30, 4, A69 A78 A87 A96
31, 1, A9
32, 0, 
33, 9, A19 A28 A37 A46 A55 A64 A73 A82 A91
34, 0, 
35, 0, 
36, 0, 
37, 0, 
38, 1, A2
39, 5, A14 A23 A32 A41 A50
40, 0, 
41, 0, 
42, 0, 
43, 0, 
44, 0, 
45, 0, 
46, 0, 
47, 0, 
48, 0, 
49, 0, 
50, 3, A79 A88 A97
51, 1, A3
52, 8, A29 A38 A47 A56 A65 A74 A83 A92
53, 0, 
54, 0, 
55, 0, 
56, 0, 
57, 0, 
58, 6, A15 A24 A33 A42 A51 A60
59, 0, 
60, 0, 
61, 0, 
62, 0, 
63, 0, 
64, 1, A4
65, 0, 
66, 1, A10
67, 0, 
68, 0, 
69, 0, 
70, 2, A89 A98
71, 0, 
72, 7, A39 A48 A57 A66 A75 A84 A93
73, 0, 
74, 0, 
75, 0, 
76, 7, A16 A25 A34 A43 A52 A61 A70
77, 1, A5
78, 0, 
79, 0, 
80, 0, 
81, 0, 
82, 0, 
83, 0, 
84, 2, A11 A20
85, 0, 
86, 0, 
87, 0, 
88, 0, 
89, 1, A99
90, 0, 
91, 7, A6 A49 A58 A67 A76 A85 A94
92, 0, 
93, 0, 
94, 0, 
95, 8, A17 A26 A35 A44 A53 A62 A71 A80
96, 0, 
97, 0, 
98, 0, 
99, 0, 
